,0,1,w,weights
0,0,3.1242121775470455,8.243012681031889e-09,0.866549443738338
1,1,3.710799803675301,2.50200207062722e-10,0.026302379802511426
2,2,3.7834451785893757,1.622995844527131e-10,0.017061797678668143
3,3,3.842916715361632,1.1387660747763155e-10,0.011971316153816422
4,4,3.8631097926643583,1.0096825158910506e-10,0.010614320957082254
5,5,3.8754934082757253,9.378689781306124e-11,0.009859378758068194
6,6,3.882705816554206,8.984212795380983e-11,0.009444683517446272
7,7,3.8886493385595164,8.671637965142271e-11,0.009116088189801995
8,8,3.949077280230326,6.049835255561143e-11,0.006359909390262908
9,9,3.9993799662005456,4.4831689591005026e-11,0.00471294624674434
10,10,4.042128091547575,3.475154574502293e-11,0.0036532677795938144
11,11,4.05388463243874,3.2400672219230094e-11,0.0034061314200001095
12,12,4.077782707118939,2.810073228738028e-11,0.002954098807624427
13,13,4.089308414718232,2.623583033303366e-11,0.0027580503707605275
14,14,4.09458863612631,2.5423317159312818e-11,0.0026726346537208046
15,15,4.131877107202945,2.03586097320167e-11,0.0021402056045795783
16,16,4.18816695747332,1.4557870739426764e-11,0.0015304009928668076
17,17,4.190562256931238,1.4351589709864514e-11,0.001508715631174684
18,18,4.234557193003938,1.1042385416792353e-11,0.0011608344316252947
19,19,4.252711836138133,9.910319934326823e-12,0.0010418256720775567
20,20,4.292449402509203,7.821076447749886e-12,0.0008221932571847345
21,21,4.296943074827461,7.614460396712832e-12,0.000800472676248887
22,22,4.331041332570252,6.21455056969389e-12,0.0006533066910892914
23,23,4.349419930722508,5.569997692578889e-12,0.0005855478559719796
24,24,4.38469628444596,4.514163453176715e-12,0.0004745529311504748
25,25,4.435081092033906,3.343538654872435e-12,0.0003514906107283387
26,26,4.453823659622065,2.990266288342261e-12,0.0003143527359548007
27,27,4.488144827309464,2.4372701988732204e-12,0.00025621883852412417
28,28,4.617315998235732,1.1289446567292883e-12,0.0001186806817064933
29,29,4.624926238431521,1.0788998166844485e-12,0.00011341970128817843
30,30,4.625956333717416,1.0722986094561003e-12,0.00011272574718752666
31,31,4.64479141270993,9.58473004294628e-13,0.00010075979266912283
32,32,4.7633393456279345,4.729732063186693e-13,4.972146528194762e-05
33,33,4.766097781828887,4.652635948691772e-13,4.891098981969712e-05
34,34,4.776309304302298,4.3780095889426984e-13,4.602397109868923e-05
35,35,4.820573659550301,3.3631208725849477e-13,3.535491978642033e-05
36,36,4.831534943591133,3.1505044779784257e-13,3.31197828819255e-05
37,37,4.845256674460646,2.9031873084075163e-13,3.051985292898767e-05
38,38,4.848733039467151,2.8436749052667284e-13,2.9894226815905845e-05
39,39,4.876087283442573,2.416021015578851e-13,2.5398501107824367e-05
40,40,4.903522056046634,2.0516964245250758e-13,2.156852675337117e-05
41,41,4.9150636978489874,1.9153539777389514e-13,2.0135222256675313e-05
42,42,4.917455052596319,1.8882583160505716e-13,1.9850378213940582e-05
43,43,4.9722488198519414,1.3623298413664362e-13,1.4321537669604083e-05
44,44,4.983082857091663,1.2771712871487004e-13,1.3426305542195755e-05
45,45,5.01273976524815,1.0703153498755144e-13,1.125172563659245e-05
46,46,5.065945260375276,7.795469548726163e-14,8.195013234265914e-06
47,47,5.097900891081144,6.44402076637126e-14,6.77429821670283e-06
48,48,5.098581879212633,6.417928452368365e-14,6.746868585013576e-06
